Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
67e3026d3331d79d45de1122,5f11eb333c6e2c0df5b92270,APPROVED,Not Applicable,2025-03-25T19:23:11.309000Z,2025-03-25T19:42:13.908000Z,2025-03-25T19:52:33.136000Z,2025-03-25T19:42:15.192336Z,1143.0,CYZTAQI1,1964,English,24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
67e30286d4191bb58ddb4849,63ea4a7fa7d709c8e7887a93,APPROVED,Not Applicable,2025-03-25T19:22:51.680000Z,2025-03-25T19:46:36.821000Z,2025-03-25T19:52:17.125000Z,2025-03-25T19:46:37.987603Z,1426.0,CYZTAQI1,1901,English,49,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
67e3029fd933e9ce3bbdf6b8,63d79c183f41a7cedc459122,APPROVED,Not Applicable,2025-03-25T19:23:17.036000Z,2025-03-25T19:41:16.292000Z,2025-03-25T19:52:33.551000Z,2025-03-25T19:41:17.424967Z,1080.0,CYZTAQI1,528,English,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Due to start a new job within the next month
67e302a4ea84424a962ba038,676053613a0bc18718ea31c1,APPROVED,Not Applicable,2025-03-25T19:23:22.609000Z,2025-03-25T19:56:34.142000Z,2025-03-25T20:04:18.858000Z,2025-03-25T19:56:34.933880Z,1992.0,CYZTAQI1,87,English,22,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
67e302bb2fdca1ed3bcfde71,66b7c85b9252dc5ebf63368e,APPROVED,Not Applicable,2025-03-25T19:24:19.864000Z,2025-03-25T19:44:18.078000Z,2025-03-25T19:52:33.944000Z,2025-03-25T19:44:19.011025Z,1199.0,CYZTAQI1,453,English,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
67e302c5834306b0bb22d717,66d31eb1fa387442fa9b006b,APPROVED,Not Applicable,2025-03-25T19:26:21.785000Z,2025-03-25T19:49:03.010000Z,2025-03-25T19:52:35.583000Z,2025-03-25T19:49:03.705425Z,1362.0,NOCODE,314,English,55,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
67e3033d54e0845a340dbf7a,65ae7ac0e8920c4c9a27b63d,APPROVED,Not Applicable,2025-03-25T19:25:55.818000Z,2025-03-25T19:44:34.079000Z,2025-03-25T19:52:35.954000Z,2025-03-25T19:44:34.827658Z,1119.0,CYZTAQI1,481,English,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
67e303458bb570c7abe12f9d,665d7f31a1345956ab238538,APPROVED,Not Applicable,2025-03-25T19:28:55.791000Z,2025-03-25T19:56:13.438000Z,2025-03-25T19:56:17.893000Z,2025-03-25T19:56:14.171076Z,1638.0,CYZTAQI1,284,English,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
67e30378462141f186a6876f,5f1301b0bbe07d00090dd94a,APPROVED,Not Applicable,2025-03-25T19:26:48.886000Z,2025-03-25T19:43:03.626000Z,2025-03-25T19:52:17.549000Z,2025-03-25T19:43:05.876797Z,975.0,CYZTAQI1,569,English,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
67e30381150558b5b692c154,6346883183e9dda2b38f6c40,APPROVED,Not Applicable,2025-03-25T19:27:45.328000Z,2025-03-25T19:46:08.386000Z,2025-03-25T19:52:17.949000Z,2025-03-25T19:46:09.151304Z,1104.0,CYZTAQI1,1656,English,29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
67e3038f5db5ec44356e0816,5ccef4423f15b900199e1ec3,APPROVED,Not Applicable,2025-03-25T19:27:42.002000Z,2025-03-25T19:45:35.290000Z,2025-03-25T19:52:36.279000Z,2025-03-25T19:45:36.856856Z,1074.0,CYZTAQI1,2483,English,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
67e303d44f7a825ca958b600,5ce031fc7f65ee001a985a6b,APPROVED,Not Applicable,2025-03-25T19:28:48.939000Z,2025-03-25T19:42:53.022000Z,2025-03-25T19:52:36.671000Z,2025-03-25T19:42:54.152704Z,845.0,CYZTAQI1,1289,"Esperanto, English",25,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
67e30403fcb851daf65343f1,67424c6b07d7d42c5ed0511d,APPROVED,Not Applicable,2025-03-25T19:35:04.047000Z,2025-03-25T19:58:19.834000Z,2025-03-25T20:04:19.348000Z,2025-03-25T19:58:20.759967Z,1396.0,CYZTAQI1,325,English,54,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
