Status,Started at,Completed at,Time taken,Total approvals,Age,Sex,Ethnicity simplified,Country of residence,Language
APPROVED,2023-07-14T15:23:25.752000Z,2023-07-14T15:32:12.183000Z,527,141,21,Male,Asian,United Kingdom,English
APPROVED,2023-07-14T15:23:32.776000Z,2023-07-14T15:33:52.839000Z,621,222,33,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:23:30.679000Z,2023-07-14T15:35:36.210000Z,726,1019,38,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:24:05.311000Z,2023-07-14T15:36:49.462000Z,765,323,22,Female,Black,South Africa,English
APPROVED,2023-07-14T15:23:35.673000Z,2023-07-14T15:36:38.468000Z,783,284,62,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:23:41.475000Z,2023-07-14T15:34:14.284000Z,633,293,21,Female,Black,South Africa,English
APPROVED,2023-07-14T15:23:39.429000Z,2023-07-14T15:30:46.466000Z,428,983,52,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:23:44.758000Z,2023-07-14T15:32:07.107000Z,503,775,43,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:23:49.580000Z,2023-07-14T15:43:46.567000Z,1197,1204,49,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:23:52.326000Z,2023-07-14T15:33:44.486000Z,593,742,63,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:28:47.095000Z,2023-07-14T15:39:14.855000Z,628,230,37,Male,White,Sweden,English
APPROVED,2023-07-14T15:24:16.329000Z,2023-07-14T15:29:08.890000Z,293,1547,56,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:24:34.970000Z,2023-07-14T15:38:17.690000Z,823,131,42,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:24:52.858000Z,2023-07-14T15:35:15.091000Z,623,253,34,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:25:25.528000Z,2023-07-14T15:35:04.230000Z,579,177,31,Female,Asian,South Africa,English
APPROVED,2023-07-14T15:25:44.887000Z,2023-07-14T15:35:48.738000Z,604,163,45,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:25:38.354000Z,2023-07-14T15:34:21.937000Z,524,586,55,Female,White,Canada,English
APPROVED,2023-07-14T15:25:43.468000Z,2023-07-14T15:38:22.456000Z,759,347,47,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:28:32.251000Z,2023-07-14T15:44:30.509000Z,959,483,45,Female,Black,South Africa,English
APPROVED,2023-07-14T15:25:54.248000Z,2023-07-14T15:35:50.572000Z,597,1339,39,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:26:21.396000Z,2023-07-14T15:35:21.851000Z,541,375,59,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:26:25.862000Z,2023-07-14T15:42:39.507000Z,974,1051,46,Female,White,Ireland,English
APPROVED,2023-07-14T15:26:30.500000Z,2023-07-14T15:37:35.667000Z,666,102,71,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:26:26.263000Z,2023-07-14T15:44:13.319000Z,1068,628,73,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:27:07.302000Z,2023-07-14T15:40:17.782000Z,791,297,26,Male,Black,South Africa,English
APPROVED,2023-07-14T15:26:39.621000Z,2023-07-14T15:33:48.962000Z,430,676,36,Female,White,Canada,English
APPROVED,2023-07-14T15:26:55.277000Z,2023-07-14T15:35:51.830000Z,537,294,49,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:27:29.365000Z,2023-07-14T15:38:10.349000Z,641,154,36,Female,White,France,English
APPROVED,2023-07-14T15:27:26.483000Z,2023-07-14T15:39:28.435000Z,722,395,52,Female,White,Canada,English
APPROVED,2023-07-14T15:27:06.747000Z,2023-07-14T15:37:18.007000Z,612,545,38,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:27:13.768000Z,2023-07-14T15:40:54.861000Z,822,207,40,Female,Black,South Africa,English
APPROVED,2023-07-14T15:31:15.153000Z,2023-07-14T15:46:20.462000Z,906,161,24,Male,Black,South Africa,English
APPROVED,2023-07-14T15:27:15.686000Z,2023-07-14T15:39:47.745000Z,753,765,64,Male,White,Canada,English
APPROVED,2023-07-14T15:27:42.880000Z,2023-07-14T15:38:42.739000Z,660,1060,57,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:27:39.039000Z,2023-07-14T15:37:49.209000Z,611,533,59,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:29:47.369000Z,2023-07-14T15:46:14.036000Z,987,581,50,Male,Mixed,Canada,English
APPROVED,2023-07-14T15:27:50.009000Z,2023-07-14T15:35:10.589000Z,441,164,33,Male,White,Canada,English
APPROVED,2023-07-14T15:34:02.518000Z,2023-07-14T15:43:39.216000Z,577,768,34,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:28:02.842000Z,2023-07-14T15:48:09.816000Z,1207,1330,51,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:28:05.252000Z,2023-07-14T15:44:47.847000Z,1003,948,31,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:28:06.363000Z,2023-07-14T15:38:51.159000Z,645,2739,52,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:28:06.949000Z,2023-07-14T15:37:33.830000Z,567,401,33,Male,Asian,Canada,English
APPROVED,2023-07-14T15:28:11.135000Z,2023-07-14T15:37:35.457000Z,565,188,23,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:28:22.096000Z,2023-07-14T15:41:12.846000Z,771,247,34,Male,White,Canada,English
APPROVED,2023-07-14T15:28:20.498000Z,2023-07-14T15:39:14.058000Z,654,417,33,Female,Black,United Kingdom,English
APPROVED,2023-07-14T15:35:44.392000Z,2023-07-14T15:52:51Z,1027,735,21,Female,Asian,United Kingdom,English
APPROVED,2023-07-14T15:28:22.985000Z,2023-07-14T15:39:04.093000Z,642,368,63,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:28:21.563000Z,2023-07-14T15:37:16.716000Z,536,580,43,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:28:32.040000Z,2023-07-14T15:43:01.495000Z,870,682,23,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:28:31.063000Z,2023-07-14T15:36:43.211000Z,493,110,40,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:28:44.643000Z,2023-07-14T15:42:04.854000Z,801,430,51,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:28:37.983000Z,2023-07-14T15:39:33.062000Z,656,266,45,Female,White,Australia,English
APPROVED,2023-07-14T15:28:40.412000Z,2023-07-14T15:37:13.083000Z,513,639,40,Male,White,Ireland,English
APPROVED,2023-07-14T15:28:39.677000Z,2023-07-14T15:42:43.864000Z,845,210,37,Male,White,Australia,English
APPROVED,2023-07-14T15:29:10.343000Z,2023-07-14T15:43:14.133000Z,844,273,24,Female,Black,Poland,English
APPROVED,2023-07-14T15:29:09.727000Z,2023-07-14T15:37:26.675000Z,497,817,62,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:29:13.781000Z,2023-07-14T15:37:48.731000Z,515,375,35,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:29:16.214000Z,2023-07-14T15:40:19.355000Z,664,281,54,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:29:49.366000Z,2023-07-14T15:39:40.760000Z,592,912,34,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:29:25.025000Z,2023-07-14T15:37:09.765000Z,465,798,45,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:29:26.386000Z,2023-07-14T15:38:28.437000Z,543,219,30,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:29:35.850000Z,2023-07-14T15:40:34.470000Z,659,369,43,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:29:43.612000Z,2023-07-14T15:41:34.826000Z,712,126,23,Female,White,Canada,English
APPROVED,2023-07-14T15:29:34.430000Z,2023-07-14T15:38:14.378000Z,520,343,22,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:29:30.097000Z,2023-07-14T15:39:16.307000Z,587,331,53,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:29:36.622000Z,2023-07-14T15:39:14.664000Z,579,757,41,Male,Asian,United Kingdom,English
APPROVED,2023-07-14T15:29:38.345000Z,2023-07-14T15:38:36.046000Z,538,318,29,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:29:51.347000Z,2023-07-14T15:40:05.517000Z,615,1710,65,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:29:54.367000Z,2023-07-14T15:49:35.934000Z,1182,1027,40,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:29:59.734000Z,2023-07-14T15:39:26.980000Z,568,358,24,Male,Black,South Africa,English
APPROVED,2023-07-14T15:30:16.225000Z,2023-07-14T15:39:47.894000Z,572,622,35,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:34:00.897000Z,2023-07-14T15:54:45.513000Z,1245,491,38,Male,Black,South Africa,English
APPROVED,2023-07-14T15:30:33.854000Z,2023-07-14T15:39:35.770000Z,542,1132,49,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:30:41.761000Z,2023-07-14T15:37:46.365000Z,425,1861,48,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:31:12.465000Z,2023-07-14T15:49:30.440000Z,1098,792,53,Male,White,Canada,English
APPROVED,2023-07-14T15:32:01.872000Z,2023-07-14T15:40:37.685000Z,516,606,27,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:30:54.892000Z,2023-07-14T15:40:31.190000Z,577,1171,37,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:31:17.139000Z,2023-07-14T15:40:58.101000Z,581,468,46,Male,White,Australia,English
APPROVED,2023-07-14T15:31:16.035000Z,2023-07-14T15:40:04.324000Z,529,964,63,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:31:39.046000Z,2023-07-14T15:40:47.407000Z,549,455,33,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:32:23.295000Z,2023-07-14T15:47:53.034000Z,930,100,29,Male,Asian,Canada,English
APPROVED,2023-07-14T15:31:27.341000Z,2023-07-14T15:40:51.591000Z,565,241,35,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:31:42.338000Z,2023-07-14T15:48:47.277000Z,1025,1165,36,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:31:38.820000Z,2023-07-14T15:39:56.584000Z,498,1460,36,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:41:36.787000Z,2023-07-14T15:51:32.738000Z,596,974,32,Male,White,United Kingdom,English
