Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63f39c6b2e980f5d8383294f,60eca1011d09782da3e7b426,APPROVED,2023-02-20T16:19:08.727000Z,2023-02-20T16:27:46.335000Z,2023-02-20T19:08:23.502000,2023-02-20T16:27:46.762256Z,518,C1EMCZK0,377,23,Male,White,Canada,Canada,Canada,English,Yes,Full-Time
63f39c7b12bc1069f9bc033f,5b901dce45cd3c0001003567,APPROVED,2023-02-20T16:14:58.303000Z,2023-02-20T16:33:15.656000Z,2023-02-20T19:08:20.808000,2023-02-20T16:33:21.119830Z,1098,C1EMCZK0,389,23,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63f39c93ccdf38f72fa881c3,5982b7fe35fbf100017d141e,APPROVED,2023-02-20T16:15:19.746000Z,2023-02-20T16:27:25.428000Z,2023-02-20T19:08:23.630000,2023-02-20T16:27:27.701576Z,726,C1EMCZK0,238,61,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
63f39c95eb7ba895795b2449,5f4cc54c57230502cd1ec6a5,APPROVED,2023-02-20T16:15:20.012000Z,2023-02-20T16:26:38.935000Z,2023-02-20T19:08:23.757000,2023-02-20T16:26:42.445576Z,679,C1EMCZK0,1019,51,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63f39caa9753eb44e1a5ced1,6108137a73a67aa5a30f2af5,APPROVED,2023-02-20T16:24:13.851000Z,2023-02-20T16:36:28.400000Z,2023-02-20T19:08:23.880000,2023-02-20T16:36:55.484609Z,735,C1EMCZK0,193,46,Male,White,Ireland,Ireland,Ireland,English,No,Full-Time
63f39cba347f49593f44e8bd,5eeaa8c89346931ba0f0b3e9,APPROVED,2023-02-20T16:16:11.811000Z,2023-02-20T16:28:33.161000Z,2023-02-20T19:08:23.997000,2023-02-20T16:28:33.559264Z,742,C1EMCZK0,560,27,Male,White,Canada,Canada,Canada,English,No,Full-Time
63f39cc8cb226f1657b1227c,5a947feab5e2110001c6849b,APPROVED,2023-02-20T16:16:12.611000Z,2023-02-20T16:28:23.778000Z,2023-02-20T19:08:24.145000,2023-02-20T16:28:24.211675Z,732,C1EMCZK0,722,26,Male,Asian,Saudi Arabia,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
63f39ce6dc16b0af408328fb,60b7ae30dc4cd72192734427,APPROVED,2023-02-20T16:16:38.524000Z,2023-02-20T16:32:45.879000Z,2023-02-20T19:08:24.269000,2023-02-20T16:32:46.273263Z,968,C1EMCZK0,357,37,Male,White,Poland,Poland,Poland,English,No,Full-Time
63f39cf359e3c3301aa88231,60ee998ece5d505f67377c0b,APPROVED,2023-02-20T16:16:55.185000Z,2023-02-20T16:27:05.629000Z,2023-02-20T19:08:24.393000,2023-02-20T16:27:06.072442Z,611,C1EMCZK0,956,37,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63f39d1fe3883e1b86c5c484,5f57fa602f53113499d1dad5,APPROVED,2023-02-20T16:17:40.301000Z,2023-02-20T16:35:13.400000Z,2023-02-20T19:08:24.512000,2023-02-20T16:35:16.585437Z,1054,C1EMCZK0,733,65,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
63f39d27738173d0e966f399,60be8efc2d564bcd4c8896b4,APPROVED,2023-02-20T16:17:59.299000Z,2023-02-20T16:31:41.489000Z,2023-02-20T19:08:24.636000,2023-02-20T16:31:41.884244Z,823,C1EMCZK0,165,21,Male,Asian,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking)
63f39d682cf0a60d05137994,614ed0cf0840afa76398fb7a,APPROVED,2023-02-20T16:18:52.345000Z,2023-02-20T16:29:17.599000Z,2023-02-20T19:08:24.757000,2023-02-20T16:29:21.629700Z,626,C1EMCZK0,281,29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63f39d6897500b9089f506ba,600c7b65dc7ef73cee02e821,APPROVED,2023-02-20T16:18:48.100000Z,2023-02-20T16:30:22.009000Z,2023-02-20T19:08:24.881000,2023-02-20T16:30:22.439364Z,694,C1EMCZK0,108,21,Male,White,Ireland,Ireland,Ireland,English,Yes,Part-Time
63f39d7463edf051e6c35d41,5c51d3e6a163ac0001721273,APPROVED,2023-02-20T16:20:55.262000Z,2023-02-20T16:38:20.579000Z,2023-02-20T19:08:25.015000,2023-02-20T16:38:23.233621Z,1046,C1EMCZK0,637,47,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
63f39d7cdadcccff5d34f1e0,6113d948bcb1f232c85bdcf3,APPROVED,2023-02-20T16:19:33.734000Z,2023-02-20T16:31:35.683000Z,2023-02-20T19:08:25.142000,2023-02-20T16:31:36.084802Z,722,C1EMCZK0,172,35,Male,White,Greece,Greece,Greece,English,No,Part-Time
63f39d80dd97086cecae6efd,5f30fff39031820144a7b83f,APPROVED,2023-02-20T16:19:23.699000Z,2023-02-20T16:29:53.105000Z,2023-02-20T19:08:25.268000,2023-02-20T16:29:53.753194Z,630,C1EMCZK0,587,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
63f39d951944695bd2b3f597,5720da35951c9b0011d3dfe0,APPROVED,2023-02-20T16:22:15.222000Z,2023-02-20T16:34:23.565000Z,2023-02-20T19:08:25.388000,2023-02-20T16:34:23.999794Z,729,C1EMCZK0,988,63,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
63f39db0dc16b0af40832906,5ca29ee193d3840001f6499a,APPROVED,2023-02-20T16:20:00.197000Z,2023-02-20T16:36:58.087000Z,2023-02-20T19:08:25.512000,2023-02-20T16:37:38.270814Z,1018,C1EMCZK0,653,37,Male,White,Ireland,Ireland,Ireland,English,No,Full-Time
63f3c0e6c989c89fe51c43de,571cea664ca277001153c045,APPROVED,2023-02-20T18:55:09.872000Z,2023-02-20T19:06:19.521000Z,2023-02-20T19:08:25.649000,2023-02-20T19:06:21.248541Z,670,C1EMCZK0,4248,47,Male,White,United States,United States,United States,English,No,Full-Time
